OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,q.value,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu01151,0,0,0,8.3e-05,0,8.3e-05,0.125485,0.923356144181256,Bacteria(100),Actinobacteria(100),Actinobacteria(100),Actinomycetales(100),Corynebacteriaceae(100),Corynebacterium(100),
Otu01152,4.4e-05,0,3e-05,0,0,0,0.237341,0.923356144181256,Bacteria(100),Actinobacteria(100),Actinobacteria(100),Actinomycetales(100),Microbacteriaceae(100),Microbacteriaceae_unclassified(100),
Otu01153,4.4e-05,0,4.4e-05,0,0,0,0.237341,0.923356144181256,Bacteria(100),Firmicutes(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),
Otu01154,0,0,0,4.2e-05,0,4.2e-05,0.500323,0.923356144181256,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01155,6.6e-05,0,6.6e-05,0,0,0,0.115625,0.923356144181256,Bacteria(100),Firmicutes(100),Negativicutes(100),Selenomonadales(100),Veillonellaceae(100),Veillonella(100),
Otu01163,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(100),
Otu01168,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu01171,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Firmicutes(100),Negativicutes(100),Selenomonadales(100),Acidaminococcaceae(100),Phascolarctobacterium(100),
Otu01173,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01174,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(100),
Otu01182,4.4e-05,0,4.4e-05,0,0,0,0.237341,0.923356144181256,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
